Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
18.3,-21.056,6,2,1992,0.482,0.055,0.059,0.085,0.016,0.029,0.017,0.007,0.188
20.325,-18.366,6,5,1992,1.248,0,0.277,0.248,0.061,0.332,0.064,0.106,0.039
20.361,-18.341,6,6,1992,1.517,0,0.206,0.234,0.065,0.636,0.056,0.207,0.03
20.322,-18.344,6,13,1997,3.363,0,0,0.137,0.035,2.057,0.085,0,0.048
18.302,-21.071,6,16,1992,1.325,0,0.192,0.288,0.053,0.336,0.152,0.032,0.174
18.27,-21.114,6,18,1992,1.022,0,0.183,0.203,0.043,0.616,0.092,0.019,0.202
21.045,-31.088,6,21,1992,0.041,0.012,0,0.011,0.004,0.004,0.001,0,0.03
20.592,-31.085,6,23,1992,0.037,0.011,0.002,0.011,0.004,0.003,0,0,0.027
18.294,-21.05,5,31,1992,0.43,0.098,0.049,0.069,0.012,0.023,0.013,0.005,0.198
37.998,4.558,1,8,1995,0.30439,0.008510297,0.034588973,0.034585526,0.019244976,0.05851801,0.017332027,0.007345284,0.006321694
35.806,17.502,1,12,1995,0.13043,0.029263379,0.005911775,0.019634178,0.010551965,0.002601292,0.002241104,0.001214651,0.03509913
35.503,23.39,1,22,1995,0.175,0.011897252,0.018041004,0.042133555,0.018109649,0.01651405,0.003545632,0.004014677,0.011469178
-58,62.01,3,2,1994,0.056,NaN,0.022,0.018,0.003,0.03,0.002,0.002,0.001
-63.07,70.23,2,20,1994,0.091,NaN,0,0.011,0.002,0.056,0,0,0
28.117,-115.633,8,23,2000,0.18923,0.03187464,0.015828113,0.03318504,0.008739092,0.028350918,0.012404019,0.002929991,0.023092264
26.24,-114.055,8,23,2000,0.50442,0.12354782,0.05829635,0.075256647,0.026527164,0.039835215,0.005639139,0.017669325,0.208084596
25.733,-113.6,8,23,2000,0.20213,0.076373576,0.013140368,0.027785325,0.007051468,0.018898359,0.004025447,0.002356298,0.046703933
25.417,-113.317,8,23,2000,0.22653,0.145396834,0.008908789,0.021323632,0.007076774,0.007959807,0.002282824,0.000990374,0.077522936
